MONTH,HA,CO,AMA,AMO,PO,IS,NM,CAP,OST,GAS,BIV,DEC,CU
JUNE,2,1,0,2,0,0,0,0,0,0,0,0,0
JUNE,1,0,0,0,0,0,0,0,0,0,0,0,0
JUNE,0,0,0,1,0,0,0,0,0,0,0,0,0
JUNE,1,0,0,4,1,0,0,0,0,0,0,0,0
JUNE,0,0,0,1,0,0,0,0,0,0,0,0,0
JUNE,1,0,4,3,1,0,0,4,0,0,0,1,1
JUNE,18,0,0,15,0,0,1,0,0,1,0,0,0
JUNE,2,0,0,0,1,0,0,0,0,0,0,0,0
JUNE,0,0,0,0,1,0,0,0,0,0,0,1,0
JUNE,6,0,0,6,1,0,0,0,0,0,0,0,0
JUNE,2,0,0,9,0,0,0,0,0,0,0,0,0
JUNE,3,0,0,1,1,0,0,0,0,0,0,0,0
JUNE,4,0,0,4,0,0,0,1,0,0,0,0,0
AUG,7,0,0,0,0,0,0,0,0,0,0,0,0
AUG,3,1,4,0,0,0,0,0,0,0,0,0,0
AUG,0,0,6,1,0,0,0,0,0,0,0,0,0
AUG,6,1,0,1,1,0,0,0,0,0,0,0,0
AUG,2,0,5,0,0,0,0,0,0,0,0,0,0
AUG,0,0,0,0,0,0,0,0,0,0,0,0,0
AUG,3,0,0,1,0,2,0,1,0,0,0,0,0
AUG,1,0,0,1,1,0,0,0,0,0,0,0,0
AUG,0,0,6,0,0,0,0,0,0,0,0,0,0
AUG,1,0,0,0,0,0,0,0,0,0,0,0,0
AUG,1,0,0,1,0,0,0,0,0,0,0,0,0
AUG,0,0,3,0,1,2,0,0,0,0,0,0,0
AUG,2,1,0,0,0,0,0,0,0,0,0,0,0
AUG,0,0,0,0,0,0,0,0,0,0,0,1,0
AUG,4,0,0,0,0,0,0,0,0,0,0,0,0
AUG,1,0,0,0,0,0,0,0,0,0,0,0,0
AUG,0,0,2,0,0,0,0,0,0,0,0,0,0
AUG,11,0,1,0,0,0,0,1,0,0,0,1,0
AUG,3,0,3,0,1,0,0,0,0,0,0,0,0
AUG,0,0,0,0,0,0,0,1,0,0,0,0,0
AUG,0,0,0,0,0,0,0,0,0,0,0,0,0
AUG,0,0,1,0,0,0,0,0,0,0,0,1,0
AUG,7,0,1,0,0,0,0,0,0,0,0,1,0
AUG,2,0,0,0,0,0,0,0,0,0,0,0,0
AUG,5,0,0,0,0,0,1,0,0,0,0,0,0
AUG,3,0,0,0,0,0,0,0,0,0,0,0,0
AUG,0,0,2,0,0,0,0,0,0,0,0,0,0
AUG,1,0,0,0,0,0,0,0,0,0,0,0,0
AUG,2,0,0,0,0,0,0,0,0,0,0,0,0
AUG,0,0,0,0,0,0,0,0,0,1,0,0,0
AUG,2,0,0,0,0,0,0,0,0,0,0,0,0
AUG,1,0,1,0,0,0,0,0,0,0,0,0,0
AUG,0,0,0,0,0,0,0,0,0,0,0,0,0
AUG,0,0,1,0,0,0,0,0,0,0,0,0,0
AUG,6,0,0,0,0,0,0,,1,0,0,0,0
AUG,7,0,0,0,0,0,0,0,0,0,0,0,0
AUG,9,0,0,0,0,0,0,0,0,0,0,0,0
AUG,3,0,5,0,0,0,0,0,0,0,0,0,0
AUG,5,0,0,0,0,0,0,0,0,0,0,0,0
