Month,Fish ID,Prey ID,Prey Length
JUN,610,AMB,1.18
JUN,610,AM?,1.20
JUN,610,AM?,0.95
JUN,610,AM?,0.98
JUN,610,AM?,1.10
JUN,610,AM?,0.75
JUN,610,AM?,1.00
JUN,610,AM?,1.08
JUN,610,AM?,1.25
JUN,610,AM?,0.45
JUN,610,AM?,0.50
AUG,1,NIL,
AUG,2,AMA,3.60
AUG,2,AMA,3.30
AUG,2,AMA,3.20
AUG,2,AMA,4.00
AUG,3,AMA,2.30
AUG,3,AMA,4.50
AUG,3,AMA,3.80
AUG,3,AMA,3.60
AUG,3,AMA,3.00
AUG,3,AMA,4.40
AUG,3,AMA,2.35
AUG,4,NIL,
AUG,5,AMA,3.50
AUG,5,AMA,3.70
AUG,5,AMA,2.60
AUG,5,AMA,1.60
AUG,5,AMA,3.00
AUG,6,NIL,
AUG,7,AMA,3.30
AUG,8,AMD,2.08
AUG,9,AMA,4.00
AUG,9,AMA,2.40
AUG,9,AMA,4.10
AUG,9,AMA,4.30
AUG,9,AMA,4.10
AUG,9,AMA,3.50
AUG,10,NIL,
AUG,11,AME,1.30
AUG,12,AMA,3.40
AUG,12,AMA,2.50
AUG,12,AMA,3.40
AUG,13,NIL,
AUG,14,NIL,
AUG,15,NIL,
AUG,16,NIL,
AUG,17,AMA,4.60
AUG,17,AMA,3.30
AUG,18,AMA,2.60
AUG,19,AMA,3.50
AUG,19,AMA,1.80
AUG,19,AMA,1.80
AUG,20,NIL,
AUG,21,NIL,
AUG,22,AMA,4.00
AUG,23,AMA,1.80
AUG,24,NIL,
AUG,25,NIL,
AUG,26,NIL,
AUG,27,AMA,5.30
AUG,27,AMA,4.40
AUG,28,NIL,
AUG,29,NIL,
AUG,30,NIL,
AUG,31,NIL,
AUG,32,AMA,5.20
AUG,36,NIL,
AUG,37,NIL,
AUG,38,NIL,
AUG,39,AMA,2.20
AUG,39,AMA,4.50
AUG,39,AMA,3.20
AUG,39,AMA,2.30
AUG,39,AMA,2.40
AUG,40,NIL,
